municipio,UF,Módulo fiscal (ha),,
Custódia,PE,65,,
Dormentes,PE,55,,
Escada,PE,14,,
Exu,PE,70,,
Feira Nova,PE,20,,
Fernando de Noronha,PE,0,,
Ferreiros,PE,14,,
Flores,PE,40,,
Floresta,PE,55,,
Frei Miguelinho,PE,35,,
Gameleira,PE,14,,
Garanhuns,PE,35,,
Glória do Goitá,PE,20,,
Goiana,PE,14,,
Granito,PE,70,,
Gravatá,PE,20,,
Iati,PE,40,,
Ibimirim,PE,65,,
Ibirajuba,PE,35,,
Igarassu,PE,14,,
Iguaraci,PE,40,,
Ilha de Itamaracá,PE,14,,
Inajá,PE,65,,
Ingazeira,PE,40,,
Ipojuca,PE,14,,
Ipubi,PE,70,,
Itacuruba,PE,55,,
Itaíba,PE,40,,
Itambé,PE,14,,
Itapetim,PE,40,,
Itapissuma,PE,14,,
Itaquitinga,PE,14,,
Jaboatão dos Guararapes,PE,7,,
Jaqueira,PE,14,,
Jataúba,PE,20,,
Jatobá,PE,55,,
João Alfredo,PE,24,,
Joaquim Nabuco,PE,14,,
Jucati,PE,35,,
Jupi,PE,35,,
Jurema,PE,35,,
Lagoa do Carro,PE,14,,
Lagoa do Itaenga,PE,16,,
Lagoa do Ouro,PE,45,,
Lagoa dos Gatos,PE,35,,
Lagoa Grande,PE,55,,
Lajedo,PE,40,,
Limoeiro,PE,22,,
Macaparana,PE,14,,
Machados,PE,22,,
Manari,PE,65,,
Maraial,PE,14,,
Mirandiba,PE,65,,
Moreilândia,PE,70,,
Moreno,PE,7,,
Nazaré da Mata,PE,14,,
Olinda,PE,7,,
Orobó,PE,22,,
Orocó,PE,55,,
Ouricuri,PE,70,,
Palmares,PE,14,,
Palmeirina,PE,45,,
Panelas,PE,35,,
Paranatama,PE,35,,
Parnamirim,PE,65,,
Passira,PE,35,,
Paudalho,PE,14,,
Paulista,PE,7,,
Pedra,PE,35,,
Pesqueira,PE,20,,
Petrolândia,PE,55,,
Petrolina,PE,55,,
Poção,PE,20,,
Pombos,PE,20,,
Primavera,PE,14,,
Quipapá,PE,14,,
Quixabá,PE,40,,
Recife,PE,5,,
Riacho das Almas,PE,20,,
Ribeirão,PE,14,,
Rio Formoso,PE,14,,
Sairé,PE,35,,
Salgadinho,PE,26,,
Salgueiro,PE,65,,
Saloá,PE,35,,
Sanharó,PE,20,,
Santa Cruz,PE,70,,
Santa Cruz da Baixa Verde,PE,40,,
Santa Cruz do Capibaribe,PE,20,,
Santa Filomena,PE,70,,
Santa Maria da Boa Vista,PE,55,,
Santa Maria do Cambucá,PE,22,,
Santa Terezinha,PE,40,,
São Benedito do Sul,PE,14,,
São Bento do Una,PE,20,,
São Caitano,PE,20,,
São João,PE,35,,
São Joaquim do Monte,PE,35,,
São José da Coroa Grande,PE,14,,
São José do Belmonte,PE,65,,
São José do Egito,PE,40,,
São Lourenço da Mata,PE,7,,
São Vicente Ferrer,PE,20,,
Serra Talhada,PE,40,,
Serrita,PE,65,,
Sertânia,PE,65,,
Sirinhaém,PE,14,,
Solidão,PE,40,,
Surubim,PE,26,,
Tabira,PE,40,,
Tacaimbó,PE,20,,
Tacaratu,PE,65,,
Tamandaré,PE,14,,
Taquaritinga do Norte,PE,20,,
Terezinha,PE,35,,
Terra Nova,PE,65,,
Timbaúba,PE,14,,
Toritama,PE,20,,
Tracunhaém,PE,14,,
Trindade,PE,70,,
Triunfo,PE,40,,
Tupanatinga,PE,35,,
Tuparetama,PE,40,,
Venturosa,PE,35,,
Verdejante,PE,65,,
Vertente do Lério,PE,26,,
Vertentes,PE,20,,
Vicência,PE,14,,
Vitória de Santo Antão,PE,14,,
Xexéu,PE,14,,
Acauã,PI,70,,
Agricolândia,PI,70,,
Água Branca,PI,70,,
Alagoinha do Piauí,PI,70,,
Alegrete do Piauí,PI,70,,
Alto Longá,PI,55,,
Altos,PI,30,,
Alvorada do Gurguéia,PI,70,,
Amarante,PI,70,,
Angical do Piauí,PI,70,,
Anísio de Abreu,PI,70,,
Antânio Almeida,PI,70,,
Aroazes,PI,70,,
Aroeiras do Itaim,PI,70,,
Arraial,PI,70,,
Assunção do Piauí,PI,60,,
Avelino Lopes,PI,75,,
Baixa Grande do Ribeiro,PI,75,,
Barra D'alcântara,PI,70,,
Barras,PI,60,,
Barreiras do Piauí,PI,75,,
Barro Duro,PI,70,,
Batalha,PI,60,,
Bela Vista do Piauí,PI,70,,
Belém do Piauí,PI,70,,
Beneditinos,PI,30,,
Bertolínia,PI,70,,
Betânia do Piauí,PI,70,,
Boa Hora,PI,60,,
Bocaina,PI,70,,
Bom Jesus,PI,70,,
Bom Princípio do Piauí,PI,55,,
Bonfim do Piauí,PI,70,,
Boqueirão do Piauí,PI,55,,
Brasileira,PI,60,,
Brejo do Piauí,PI,70,,
Buriti dos Lopes,PI,55,,
Buriti dos Montes,PI,60,,
Cabeceiras do Piauí,PI,60,,
Cajazeiras do Piauí,PI,70,,
Cajueiro da Praia,PI,55,,
Caldeirão Grande do Piauí,PI,70,,
Campinas do Piauí,PI,70,,
Campo Alegre do Fidalgo,PI,70,,
Campo Grande do Piauí,PI,70,,
Campo Largo do Piauí,PI,55,,
Campo Maior,PI,55,,
Canavieira,PI,70,,
Canto do Buriti,PI,70,,
Capitão de Campos,PI,60,,
Capitão Gervásio Oliveira,PI,70,,
Caracol,PI,70,,
Caraubas do Piauí,PI,55,,
Caridade do Piauí,PI,70,,
Castelo do Piauí,PI,60,,
Caxingo,PI,55,,
Cocal,PI,60,,
Cocal de Telha,PI,55,,
Cocal dos Alves,PI,60,,
Coivaras,PI,30,,
Colânia do Gurguéia,PI,70,,
Colânia do Piauí,PI,70,,
Conceição do Canindé,PI,70,,
Coronel José Dias,PI,70,,
Corrente,PI,75,,
Cristalândia do Piauí,PI,75,,
Cristino Castro,PI,70,,
Curimatá,PI,75,,
Currais,PI,70,,
Curral Novo do Piauí,PI,70,,
Curralinhos,PI,30,,
Demerval Lobão,PI,30,,
Dirceu Arcoverde,PI,70,,
Dom Expedito Lopes,PI,70,,
Dom Inocêncio,PI,70,,
Domingos Mourão,PI,60,,
Elesbão Veloso,PI,70,,
Eliseu Martins,PI,70,,
Esperantina,PI,55,,
Fartura do Piauí,PI,70,,
Flores do Piauí,PI,70,,
Floresta do Piauí,PI,70,,
Floriano,PI,70,,
Francinópolis,PI,70,,
Francisco Ayres,PI,70,,
Francisco Macedo,PI,70,,
Francisco Santos,PI,70,,
Fronteiras,PI,70,,
Geminiano,PI,70,,
Gilbués,PI,75,,
Guadalupe,PI,70,,
Guaribas,PI,70,,
Hugo Napoleão,PI,70,,
Ilha Grande,PI,55,,
Inhuma,PI,70,,
Ipiranga do Piauí,PI,70,,
Isaías Coelho,PI,70,,
Itainópolis,PI,70,,
Itaueira,PI,70,,
Jacobina do Piauí,PI,70,,
Jaicós,PI,70,,
Jardim do Mulato,PI,70,,
Jatobá do Piauí,PI,55,,
Jerumenha,PI,70,,
João Costa,PI,70,,
Joaquim Pires,PI,55,,
Joca Marques,PI,55,,
José de Freitas,PI,30,,
Juazeiro do Piauí,PI,60,,
Júlio Borges,PI,75,,
Jurema,PI,70,,
Lagoa Alegre,PI,30,,
Lagoa de São Francisco,PI,60,,
Lagoa do Barro do Piauí,PI,70,,
Lagoa do Piauí,PI,30,,
Lagoa do Sítio,PI,70,,
Lagoinha do Piauí,PI,70,,
Landri Sales,PI,70,,
Luís Correia,PI,55,,
Luzilândia,PI,55,,
Madeiro,PI,55,,
Manoel Emídio,PI,70,,
Marcolândia,PI,70,,
Marcos Parente,PI,70,,
Massapê do Piauí,PI,70,,
Matias Olímpio,PI,55,,
Miguel Alves,PI,30,,
Miguel Leão,PI,70,,
Milton Brandão,PI,60,,
Monsenhor Gil,PI,30,,
Monsenhor Hipólito,PI,70,,
Monte Alegre do Piauí,PI,75,,
Morro Cabeça No Tempo,PI,75,,
Morro do Chapéu do Piauí,PI,55,,
Murici dos Portelas,PI,55,,
Nazaré do Piauí,PI,70,,
Nossa Senhora de Nazaré,PI,55,,
Nossa Senhora dos Remédios,PI,55,,
Nova Santa Rita,PI,70,,
Novo Oriente do Piauí,PI,70,,
Novo Santo Antânio,PI,55,,
Oeiras,PI,70,,
Olho D'água do Piauí,PI,70,,
Padre Marcos,PI,70,,
Paes Landim,PI,70,,
Pajeú do Piauí,PI,70,,
Palmeira do Piauí,PI,70,,
Palmeirais,PI,70,,
Paquetá,PI,70,,
Parnaguá,PI,75,,
Parnaíba,PI,55,,
Passagem Franca do Piauí,PI,70,,
Patos do Piauí,PI,70,,
Pau D'arco do Piauí,PI,30,,
Paulistana,PI,70,,
Pavussu,PI,70,,
Pedro Ii,PI,60,,
Pedro Laurentino,PI,70,,
Picos,PI,70,,
Pimenteiras,PI,70,,
Pio Ix,PI,70,,
Piracuruca,PI,60,,
Piripiri,PI,60,,
Porto,PI,55,,
Porto Alegre do Piauí,PI,70,,
Prata do Piauí,PI,70,,
Queimada Nova,PI,70,,
Redenção do Gurguéia,PI,70,,
Regeneração,PI,70,,
Riacho Frio,PI,75,,
Ribeira do Piauí,PI,70,,
Ribeiro Gonçalves,PI,75,,
Rio Grande do Piauí,PI,70,,
Santa Cruz do Piauí,PI,70,,
Santa Cruz dos Milagres,PI,70,,
Santa Filomena,PI,75,,
Santa Luz,PI,70,,
Santa Rosa do Piauí,PI,70,,
Santana do Piauí,PI,70,,
Santo Antânio de Lisboa,PI,70,,
Santo Antânio dos Milagres,PI,70,,
Santo Inácio do Piauí,PI,70,,
São Braz do Piauí,PI,70,,
São Félix do Piauí,PI,70,,
São Francisco de Assis do Piauí,PI,70,,
São Francisco do Piauí,PI,70,,
São Gonçalo do Gurguéia,PI,75,,
São Gonçalo do Piauí,PI,70,,
São João da Canabrava,PI,70,,
São João da Fronteira,PI,60,,
São João da Serra,PI,55,,
São João da Varjota,PI,70,,
São João do Arraial,PI,55,,
São João do Piauí,PI,70,,
São José do Divino,PI,60,,
São José do Peixe,PI,70,,
São José do Piauí,PI,70,,
São Julião,PI,70,,
São Lourenço do Piauí,PI,70,,
São Luis do Piauí,PI,70,,
São Miguel da Baixa Grande,PI,70,,
São Miguel do Fidalgo,PI,70,,
São Miguel do Tapuio,PI,60,,
São Pedro do Piauí,PI,70,,
São Raimundo Nonato,PI,70,,
Sebastião Barros,PI,75,,
Sebastião Leal,PI,70,,
Sigefredo Pacheco,PI,55,,
Sim§es,PI,70,,
Simplício Mendes,PI,70,,
Socorro do Piauí,PI,70,,
Sussuapara,PI,70,,
Tamboril do Piauí,PI,70,,
Tanque do Piauí,PI,70,,
Teresina,PI,15,,
União,PI,30,,
Uruçuí,PI,75,,
Valença do Piauí,PI,70,,
Várzea Branca,PI,70,,
Várzea Grande,PI,70,,
Vera Mendes,PI,70,,
Vila Nova do Piauí,PI,70,,
Wall Ferraz,PI,70,,
Ângulo,PR,16,,
Abatiá,PR,18,,
Adrianópolis,PR,30,,
Agudos do Sul,PR,20,,
Almirante Tamandaré,PR,12,,
Altamira do Paraná,PR,20,,
Altânia,PR,20,,
Alto Paraíso,PR,20,,
Alto Paraná,PR,20,,
Alto Piquiri,PR,22,,
Alvorada do Sul,PR,16,,
Amaporã,PR,24,,
Ampére,PR,20,,
Anahy,PR,18,,
Andirá,PR,18,,
Antânio Olinto,PR,16,,
Antonina,PR,16,,
Apucarana,PR,14,,
Arapongas,PR,12,,
Arapoti,PR,20,,
Arapuã,PR,18,,
Araruna,PR,20,,
Araucária,PR,12,,
Ariranha do Ivaí,PR,18,,
Assaí,PR,18,,
Assis Chateaubriand,PR,18,,
Astorga,PR,16,,
Atalaia,PR,16,,
Balsa Nova,PR,12,,
Bandeirantes,PR,18,,
Barbosa Ferraz,PR,20,,
Barra do Jacaré,PR,18,,
Barracão,PR,20,,
Bela Vista da Caroba,PR,20,,
Bela Vista do Paraíso,PR,16,,
Bituruna,PR,24,,
Boa Esperança,PR,20,,
Boa Esperança do Iguaçu,PR,20,,
Boa Ventura de São Roque,PR,20,,
Boa Vista da Aparecida,PR,20,,
Bocaiúva do Sul,PR,20,,
Bom Jesus do Sul,PR,20,,
Bom Sucesso,PR,16,,
Bom Sucesso do Sul,PR,18,,
Borrazópolis,PR,18,,
Braganey,PR,18,,
Brasilândia do Sul,PR,22,,
Cafeara,PR,16,,
Cafelândia,PR,18,,
Cafezal do Sul,PR,20,,
Califórnia,PR,16,,
Cambará,PR,18,,
Cambé,PR,12,,
Cambira,PR,16,,
Campina da Lagoa,PR,20,,
Campina do Simão,PR,18,,
Campina Grande do Sul,PR,14,,
Campo Bonito,PR,20,,
Campo do Tenente,PR,20,,
Campo Largo,PR,12,,
Campo Magro,PR,12,,
Campo Mourão,PR,18,,
Cândido de Abreu,PR,20,,
Candói,PR,18,,
Cantagalo,PR,18,,
Capanema,PR,20,,
Capitão Leânidas Marques,PR,20,,
Carambeí,PR,16,,
Carlópolis,PR,18,,
Cascavel,PR,18,,
Castro,PR,16,,
Catanduvas,PR,18,,
Centenário do Sul,PR,12,,
Cerro Azul,PR,30,,
Céu Azul,PR,18,,
Chopinzinho,PR,20,,
Cianorte,PR,20,,
Cidade Gaúcha,PR,22,,
Clevelândia,PR,24,,
Colombo,PR,10,,
Colorado,PR,16,,
Congonhinhas,PR,18,,
Conselheiro Mairinck,PR,18,,
Contenda,PR,12,,
Corbélia,PR,18,,
Cornélio Procópio,PR,18,,
Coronel Domingos Soares,PR,24,,
Coronel Vivida,PR,20,,
Corumbataí do Sul,PR,20,,
Cruz Machado,PR,24,,
Cruzeiro do Iguaçu,PR,20,,
Cruzeiro do Oeste,PR,22,,
Cruzeiro do Sul,PR,24,,
Cruzmaltina,PR,18,,
Curitiba,PR,5,,
Curiúva,PR,18,,
Diamante do Norte,PR,24,,
Diamante do Sul,PR,20,,
Diamante D'oeste,PR,18,,
Dois Vizinhos,PR,20,,
Douradina,PR,22,,
Doutor Camargo,PR,16,,
Doutor Ulysses,PR,30,,
Enéas Marques,PR,20,,
Engenheiro Beltrão,PR,20,,
Entre Rios do Oeste,PR,18,,
Esperança Nova,PR,20,,
Espigão Alto do Iguaçu,PR,20,,
Farol,PR,18,,
Faxinal,PR,18,,
Fazenda Rio Grande,PR,12,,
Fênix,PR,20,,
Fernandes Pinheiro,PR,16,,
Figueira,PR,18,,
Flor da Serra do Sul,PR,20,,
Floraí,PR,16,,
Floresta,PR,16,,
Florestópolis,PR,14,,
Flórida,PR,14,,
Formosa do Oeste,PR,18,,
Foz do Iguaçu,PR,18,,
Foz do Jordão,PR,18,,
Francisco Alves,PR,20,,
Francisco Beltrão,PR,18,,
General Carneiro,PR,24,,
Godoy Moreira,PR,18,,
Goioerê,PR,20,,
Goioxim,PR,18,,
Grandes Rios,PR,18,,
Guaíra,PR,20,,
Guairaçá,PR,24,,
Guamiranga,PR,16,,
Guapirama,PR,18,,
Guaporema,PR,22,,
Guaraci,PR,16,,
Guaraniaçu,PR,20,,
Guarapuava,PR,18,,
Guaraqueçaba,PR,20,,
Guaratuba,PR,16,,
Honório Serpa,PR,24,,
Ibaiti,PR,18,,
Ibema,PR,18,,
Ibiporã,PR,12,,
Icaraíma,PR,22,,
Iguaraçu,PR,16,,
Iguatu,PR,18,,
Imbaú,PR,20,,
Imbituva,PR,16,,
Inácio Martins,PR,20,,
Inajá,PR,24,,
Indianópolis,PR,22,,
Ipiranga,PR,20,,
Iporã,PR,20,,
Iracema do Oeste,PR,18,,
Irati,PR,16,,
Iretama,PR,20,,
Itaguajé,PR,16,,
Itaipulândia,PR,18,,
Itambaracá,PR,18,,
Itambé,PR,16,,
Itapejara D'oeste,PR,20,,
Itaperuçu,PR,14,,
Itaúna do Sul,PR,24,,
Ivaí,PR,20,,
Ivaiporã,PR,18,,
Ivaté,PR,20,,
Ivatuba,PR,16,,
Jaboti,PR,18,,
Jacarezinho,PR,18,,
Jaguapitã,PR,16,,
Jaguariaíva,PR,20,,
Jandaia do Sul,PR,16,,
Janiópolis,PR,20,,
Japira,PR,18,,
Japurá,PR,22,,
Jardim Alegre,PR,18,,
Jardim Olinda,PR,24,,
Jataizinho,PR,18,,
Jesuítas,PR,18,,
Joaquim Távora,PR,18,,
Jundiaí do Sul,PR,18,,
Juranda,PR,20,,
Jussara,PR,22,,
Kaloré,PR,18,,
Lapa,PR,16,,
Laranjal,PR,20,,
Laranjeiras do Sul,PR,18,,
Leópolis,PR,18,,
Lidianópolis,PR,18,,
Lindoeste,PR,18,,
Loanda,PR,24,,
Lobato,PR,16,,
Londrina,PR,12,,
Luiziana,PR,18,,
Lunardelli,PR,18,,
Lupionópolis,PR,14,,
Mallet,PR,16,,
Mamborê,PR,20,,
Mandaguaçu,PR,14,,
Mandaguari,PR,14,,
Mandirituba,PR,12,,
Manfrinópolis,PR,20,,
Mangueirinha,PR,24,,
Manoel Ribas,PR,20,,
Marechal Cândido Rondon,PR,18,,
Maria Helena,PR,22,,
Marialva,PR,14,,
Marilândia do Sul,PR,18,,
Marilena,PR,24,,
Mariluz,PR,20,,
Maringá,PR,14,,
Mariópolis,PR,18,,
Maripá,PR,18,,
Marmeleiro,PR,20,,
Marquinho,PR,18,,
Marumbi,PR,18,,
Matelândia,PR,18,,
Matinhos,PR,16,,
Mato Rico,PR,20,,
Mauá da Serra,PR,18,,
Medianeira,PR,18,,
Mercedes,PR,18,,
Mirador,PR,24,,
Miraselva,PR,16,,
Missal,PR,18,,
Moreira Sales,PR,20,,
Morretes,PR,16,,
Munhoz de Melo,PR,14,,
Nossa Senhora das Graças,PR,16,,
Nova Aliança do Ivaí,PR,24,,
Nova América da Colina,PR,18,,
Nova Aurora,PR,18,,
Nova Cantu,PR,20,,
Nova Esperança,PR,20,,
Nova Esperança do Sudoeste,PR,20,,
Nova Fátima,PR,18,,
Nova Laranjeiras,PR,18,,
Nova Londrina,PR,24,,
Nova Olímpia,PR,22,,
Nova Prata do Iguaçu,PR,20,,
Nova Santa Bárbara,PR,18,,
Nova Santa Rosa,PR,18,,
Nova Tebas,PR,20,,
Novo Itacolomi,PR,16,,
Ortigueira,PR,20,,
Ourizona,PR,16,,
Ouro Verde do Oeste,PR,18,,
Paiçandu,PR,16,,
Palmas,PR,24,,
Palmeira,PR,16,,
Palmital,PR,20,,
Palotina,PR,18,,
Paraíso do Norte,PR,24,,
Paranacity,PR,24,,
Paranaguá,PR,16,,
Paranapoema,PR,24,,
Paranavaí,PR,20,,
Pato Bragado,PR,18,,
Pato Branco,PR,18,,
Paula Freitas,PR,24,,
Paulo Frontin,PR,24,,
Peabiru,PR,20,,
Perobal,PR,20,,
Pérola,PR,20,,
Pérola D'oeste,PR,20,,
Piên,PR,20,,
Pinhais,PR,12,,
Pinhal de São Bento,PR,20,,
Pinhalão,PR,18,,
Pinhão,PR,20,,
Piraí do Sul,PR,16,,
Piraquara,PR,12,,
Pitanga,PR,20,,
Pitangueiras,PR,12,,
Planaltina do Paraná,PR,24,,
Planalto,PR,20,,
Ponta Grossa,PR,12,,
Pontal do Paraná,PR,16,,
Porecatu,PR,16,,
Porto Amazonas,PR,20,,
Porto Barreiro,PR,18,,
Porto Rico,PR,24,,
Porto Vitória,PR,24,,
Prado Ferreira,PR,16,,
Pranchita,PR,20,,
Presidente Castelo Branco,PR,20,,
Primeiro de Maio,PR,16,,
Prudentópolis,PR,16,,
Quarto Centenário,PR,20,,
Quatiguá,PR,18,,
Quatro Barras,PR,12,,
Quatro Pontes,PR,18,,
Quedas do Iguaçu,PR,20,,
Querência do Norte,PR,30,,
Quinta do Sol,PR,20,,
Quitandinha,PR,20,,
Ramilândia,PR,18,,
Rancho Alegre,PR,18,,
Rancho Alegre D'oeste,PR,20,,
Realeza,PR,20,,
Rebouças,PR,16,,
Renascença,PR,20,,
Reserva,PR,20,,
Reserva do Iguaçu,PR,20,,
Ribeirão Claro,PR,18,,
Ribeirão do Pinhal,PR,18,,
Rio Azul,PR,16,,
Rio Bom,PR,18,,
Rio Bonito do Iguaçu,PR,18,,
Rio Branco do Ivaí,PR,18,,
Rio Branco do Sul,PR,14,,
Rio Negro,PR,16,,
Rolândia,PR,12,,
Roncador,PR,20,,
Rondon,PR,22,,
Rosário do Ivaí,PR,18,,
Sabáudia,PR,16,,
Salgado Filho,PR,20,,
Salto do Itararé,PR,18,,
Salto do Lontra,PR,20,,
Santa Amélia,PR,18,,
Santa Cecília do Pavão,PR,18,,
Santa Cruz de Monte Castelo,PR,24,,
Santa Fé,PR,18,,
Santa Helena,PR,18,,
Santa Inês,PR,18,,
Santa Isabel do Ivaí,PR,24,,
Santa Izabel do Oeste,PR,20,,
Santa Lúcia,PR,20,,
Santa Mânica,PR,24,,
Santa Maria do Oeste,PR,20,,
Santa Mariana,PR,18,,
Santa Tereza do Oeste,PR,18,,
Santa Terezinha de Itaipu,PR,18,,
Santana do Itararé,PR,18,,
Santo Antânio da Platina,PR,18,,
Santo Antânio do Caiuá,PR,24,,
Santo Antânio do Paraíso,PR,18,,
Santo Antânio do Sudoeste,PR,20,,
Santo Inácio,PR,18,,
São Carlos do Ivaí,PR,16,,
São Jerânimo da Serra,PR,20,,
São João,PR,20,,
São João do Caiuá,PR,24,,
São João do Ivaí,PR,18,,
São João do Triunfo,PR,16,,
São Jorge do Ivaí,PR,16,,
São Jorge do Patrocínio,PR,20,,
São Jorge D'oeste,PR,20,,
São José da Boa Vista,PR,18,,
São José das Palmeiras,PR,18,,
São José dos Pinhais,PR,12,,
São Manoel do Paraná,PR,22,,
São Mateus do Sul,PR,16,,
São Miguel do Iguaçu,PR,18,,
São Pedro do Iguaçu,PR,18,,
São Pedro do Ivaí,PR,18,,
São Pedro do Paraná,PR,24,,
São Sebastião da Amoreira,PR,20,,
São Tomé,PR,22,,
Sapopema,PR,18,,
Sarandi,PR,14,,
Saudade do Iguaçu,PR,20,,
Sengés,PR,20,,
Serranópolis do Iguaçu,PR,18,,
Sertaneja,PR,18,,
Sertanópolis,PR,16,,
Siqueira Campos,PR,18,,
Sulina,PR,20,,
Tamarana,PR,12,,
Tamboara,PR,24,,
Tapejara,PR,22,,
Tapira,PR,24,,
Teixeira Soares,PR,16,,
Telêmaco Borba,PR,20,,
Terra Boa,PR,22,,
Terra Rica,PR,24,,
Terra Roxa,PR,18,,
Tibagi,PR,20,,
Tijucas do Sul,PR,20,,
Toledo,PR,18,,
Tomazina,PR,18,,
Três Barras do Paraná,PR,18,,
Tunas do Paraná,PR,20,,
Tuneiras do Oeste,PR,22,,
Tupãssi,PR,18,,
Turvo,PR,18,,
Ubiratã,PR,20,,
Umuarama,PR,20,,
União da Vitória,PR,20,,
Uniflor,PR,16,,
Uraí,PR,18,,
Ventania,PR,20,,
Vera Cruz do Oeste,PR,18,,
Verê,PR,20,,
Virmond,PR,18,,
Vitorino,PR,18,,
Wenceslau Braz,PR,18,,
Xambrê,PR,20,,
Angra dos Reis,RJ,16,,
Aperibé,RJ,35,,
Araruama,RJ,14,,
Areal,RJ,28,,
Armação dos Búzios,RJ,14,,
Arraial do Cabo,RJ,14,,
Barra do Piraí,RJ,20,,
Barra Mansa,RJ,26,,
Belford Roxo,RJ,10,,
Bom Jardim,RJ,25,,
Bom Jesus do Itabapoana,RJ,30,,
Cabo Frio,RJ,14,,
Cachoeiras de Macacu,RJ,14,,
Cambuci,RJ,35,,
Campos dos Goytacazes,RJ,12,,
Cantagalo,RJ,35,,
Carapebus,RJ,12,,
Cardoso Moreira,RJ,12,,
Carmo,RJ,35,,
Casimiro de Abreu,RJ,18,,
Comendador Levy Gasparian,RJ,28,,
Conceição de Macabu,RJ,12,,
Cordeiro,RJ,35,,
Duas Barras,RJ,26,,
Duque de Caxias,RJ,10,,
Engenheiro Paulo de Frontin,RJ,14,,
Guapimirim,RJ,10,,
Iguaba Grande,RJ,14,,
Itaboraí,RJ,10,,
Itaguaí,RJ,10,,
Italva,RJ,12,,
Itaocara,RJ,22,,
Itaperuna,RJ,30,,
Itatiaia,RJ,26,,
Japeri,RJ,10,,
Laje do Muriaé,RJ,28,,
Macaé,RJ,12,,
Macuco,RJ,35,,
Magé,RJ,10,,
Mangaratiba,RJ,16,,
Maricá,RJ,14,,
Mendes,RJ,18,,
Mesquita,RJ,10,,
Miguel Pereira,RJ,16,,
Miracema,RJ,35,,
Natividade,RJ,30,,
Nilópolis,RJ,10,,
Niterói,RJ,5,,
Nova Friburgo,RJ,10,,
Nova Iguaçu,RJ,10,,
Paracambi,RJ,10,,
Paraíba do Sul,RJ,28,,
Parati,RJ,16,,
Paty do Alferes,RJ,16,,
Petrópolis,RJ,10,,
Pinheiral,RJ,16,,
Piraí,RJ,16,,
Porciúncula,RJ,30,,
Porto Real,RJ,26,,
Quatis,RJ,26,,
Queimados,RJ,10,,
Quissamã,RJ,12,,
Resende,RJ,26,,
Rio Bonito,RJ,14,,
Rio Claro,RJ,20,,
Rio das Flores,RJ,22,,
Rio das Ostras,RJ,18,,
Rio de Janeiro,RJ,5,,
Santa Maria Madalena,RJ,35,,
Santo Antânio de Pádua,RJ,35,,
São Fidélis,RJ,12,,
São Francisco de Itabapoana,RJ,12,,
São Gonçalo,RJ,10,,
São João da Barra,RJ,12,,
São João de Meriti,RJ,10,,
São José de Ubá,RJ,35,,
São José do Vale do Rio Preto,RJ,10,,
São Pedro da Aldeia,RJ,14,,
São Sebastião do Alto,RJ,35,,
Sapucaia,RJ,28,,
Saquarema,RJ,14,,
Seropédica,RJ,10,,
Silva Jardim,RJ,16,,
Sumidouro,RJ,26,,
Tanguá,RJ,10,,
Teresópolis,RJ,10,,
Trajano de Morais,RJ,35,,
Três Rios,RJ,28,,
Valença,RJ,24,,
Varre-Sai,RJ,30,,
Vassouras,RJ,16,,
Volta Redonda,RJ,14,,
Acari,RN,35,,
Açu,RN,55,,
Afonso Bezerra,RN,60,,
Água Nova,RN,50,,
Alexandria,RN,45,,
Almino Afonso,RN,40,,
Alto do Rodrigues,RN,65,,
Angicos,RN,60,,
Antânio Martins,RN,50,,
Apodi,RN,55,,
Areia Branca,RN,65,,
Arês,RN,20,,
Augusto Severo,RN,55,,
Baía Formosa,RN,20,,
Baraúna,RN,70,,
Barcelona,RN,30,,
Bento Fernandes,RN,50,,
Bodó,RN,60,,
Bom Jesus,RN,35,,
Brejinho,RN,35,,
Caiçara do Norte,RN,60,,
Caiçara do Rio do Vento,RN,50,,
Caicó,RN,35,,
Campo Redondo,RN,30,,
Canguaretama,RN,20,,
Caraúbas,RN,55,,
Carnaúba dos Dantas,RN,35,,
Carnaubais,RN,70,,
Ceará-Mirim,RN,20,,
Cerro Corá,RN,30,,
Coronel Ezequiel,RN,30,,
Coronel João Pessoa,RN,50,,
Cruzeta,RN,40,,
Currais Novos,RN,30,,
Doutor Severiano,RN,50,,
Encanto,RN,50,,
Equador,RN,30,,
Espírito Santo,RN,20,,
Extremoz,RN,20,,
Felipe Guerra,RN,55,,
Fernando Pedroza,RN,60,,
Florânia,RN,35,,
Francisco Dantas,RN,55,,
Frutuoso Gomes,RN,45,,
Galinhos,RN,65,,
Goianinha,RN,20,,
Governador Dix-Sept Rosado,RN,55,,
Grossos,RN,70,,
Guamaré,RN,65,,
Ielmo Marinho,RN,35,,
Ipanguaçu,RN,55,,
Ipueira,RN,30,,
Itajá,RN,55,,
Itaú,RN,55,,
Jaçanã,RN,30,,
Jandaíra,RN,50,,
Janduís,RN,55,,
Januário Cicco,RN,35,,
Japi,RN,35,,
Jardim de Angicos,RN,50,,
Jardim de Piranhas,RN,30,,
Jardim do Seridó,RN,30,,
João Câmara,RN,50,,
João Dias,RN,50,,
José da Penha,RN,50,,
Jucurutu,RN,35,,
Jundiá,RN,35,,
Lagoa D'anta,RN,35,,
Lagoa de Pedras,RN,35,,
Lagoa de Velhos,RN,35,,
Lagoa Nova,RN,35,,
